dataset_name,avg_MAE_15min,avg_RMSE_15min,avg_MAE_30min,avg_RMSE_30min,avg_MAE_60min,avg_RMSE_60min,avg_MAE_90min,avg_RMSE_90min
14_HUPA-UCM,6.308367409706116,9.322824964523315,13.255808324813843,18.835644187927247,25.56722276687622,35.060240745544434,35.01115249633789,47.06654975891113
17_T1DM-UOM,8.564149239484001,12.685231264899759,16.242006918963263,23.183064404655905,28.255654166726504,38.778567145852485,35.94903542013729,48.27864074707031
18_Bris-T1D Open,6.582222986221313,10.811802172660828,12.394220447540283,19.907096481323244,22.074938130378722,34.26806173324585,28.532227516174316,43.51083498001098
19_AZT1D,9.03974136352539,13.09190128326416,15.826402893066406,22.081151695251464,26.960878219604492,36.131192932128904,34.3634147644043,45.228511047363284
1_Hall2018,10.753185231110145,12.925788620422626,19.732249966983137,23.018450589015565,27.8429284589044,31.93529776869149,28.035974617662102,32.16725037015718
2_D1NAMO,7.513975203037262,11.192361950874329,15.707702398300171,22.593001902103424,31.091600716114044,42.10517454147339,41.39803630113602,54.76373291015625
3_Colas2019,9.761891213460611,12.481104686283148,14.806137442015684,17.807316047067825,17.266815840051724,21.32755943788932,18.846542772192223,22.7247492063504
BIG_IDEA_LAB,5.801459893584251,8.968834638595581,10.559759438037872,16.275354981422424,15.731763899326324,23.651833057403564,17.391262590885162,25.518467843532562
CGMacros,7.307925489213732,10.725719526078965,12.57077571021186,18.640480465359158,19.036531851026748,27.351404211256238,22.259296374850802,31.124108441670735
ShanghaiT1DM,4.434843023618062,6.047525842984517,10.096702377001444,13.75760785738627,20.488864342371624,27.464155038197834,28.954005638758343,38.31457503636678
ShanghaiT2DM,3.9812702357769014,5.649673571586609,8.730806376934051,12.48380937576294,16.5046434879303,23.32863687992096,22.17591289997101,30.635475397109985
UCHTT1DM,8.263906407356263,12.393266868591308,13.709303975105286,19.977655029296876,19.69835493564606,27.574222564697266,23.41912989616394,31.428632164001463
